0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,60,1160,1150,1140,1130,1120,1110,1100,1090,1080,1070,1060,1050,1040,1030,1020,1010,1000,990,980,970,960,950,940,930,920,910,900,890,880,870,860,850,840,830
-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,50,1150,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,1840,1830,1820,1810,1800,1790,1780,1770,1760,1750,1740,1730,1720,1710,1700,1690,1680,1670,1660,1650,1640,1630,1620
-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,40,1140,1930,2280,2270,2260,2250,2240,2230,2220,2210,2200,2190,2180,2170,2160,2150,2140,2130,2120,2110,2100,2090,2080,2070,2060,2050,2040,2030,2020,2010,2000,1990,1980,1970
-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,30,1130,1920,2270,2960,2950,2940,2930,2920,2910,2900,2890,2880,2870,2860,2850,2840,2830,2820,2810,2800,2790,2780,2770,2760,2750,2740,2730,2720,2710,2700,2690,2680,2670,2660
-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,20,1120,1910,2260,2950,3440,3430,3420,3410,3400,3390,3380,3370,3360,3350,3340,3330,3320,3310,3300,3290,3280,3270,3260,3250,3240,3230,3220,3210,3200,3190,3180,3170,3160,3150
-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,10,1110,1900,2250,2940,3430,4140,4130,4120,4110,4100,4090,4080,4070,4060,4050,4040,4030,4020,4010,4000,3990,3980,3970,3960,3950,3940,3930,3920,3910,3900,3890,3880,3870,3860
-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,0,1100,1890,2240,2930,3420,4130,4260,4250,4240,4230,4220,4210,4200,4190,4180,4170,4160,4150,4140,4130,4120,4110,4100,4090,4080,4070,4060,4050,4040,4030,4020,4010,4000,3990
-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-10,1090,1880,2230,2920,3410,4120,4250,4360,4350,4340,4330,4320,4310,4300,4290,4280,4270,4260,4250,4240,4230,4220,4210,4200,4190,4180,4170,4160,4150,4140,4130,4120,4110,4100
-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-60,-70,-80,-90,-90,-90,-90,-90,-90,-90,-90,-20,1080,1870,2220,2910,3400,4110,4240,4350,4340,4330,4320,4310,4300,4290,4280,4270,4260,4250,4240,4230,4220,4210,4200,4190,4180,4170,4160,4150,4140,4130,4120,4110,4100,4090
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-80,-90,-100,-100,-100,-100,-100,-100,-100,-100,-30,1070,1860,2210,2900,3390,4100,4230,4340,4330,4320,4310,4300,4290,4280,4270,4260,4250,4240,4230,4220,4210,4200,4190,4180,4170,4160,4150,4140,4130,4120,4110,4100,4090,4080
-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-60,-70,-80,-90,-100,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-80,-90,-100,-110,-110,-110,-110,-110,-110,-110,-110,-40,1060,1850,2200,2890,3380,4090,4220,4330,4320,4530,4800,4790,4780,4770,4760,4750,4740,4730,4720,4710,4700,4690,4680,4670,4660,4650,4640,4630,4620,4610,4600,4590,4580,4570
